"pclass","new.title","ticket.party.size","avg.fare","survived"
"3","Mr.",1,7.25,"0"
"1","Mrs.",2,35.64165,"1"
"3","Miss.",1,7.925,"1"
"1","Mrs.",2,26.55,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",1,8.4583,"0"
"1","Mr.",2,25.93125,"0"
"3","Master.",5,4.215,"0"
"3","Mrs.",3,3.7111,"1"
"2","Mrs.",2,15.0354,"1"
"3","Miss.",3,5.56666666666667,"1"
"1","Miss.",1,26.55,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",7,4.46785714285714,"0"
"3","Miss.",1,7.8542,"0"
"2","Mrs.",1,16,"1"
"3","Master.",6,4.85416666666667,"0"
"2","Mr.",1,13,"1"
"3","Mrs.",2,9,"0"
"3","Mrs.",1,7.225,"1"
"2","Mr.",2,13,"0"
"2","Mr.",1,13,"1"
"3","Miss.",1,8.0292,"1"
"1","Mr.",1,35.5,"1"
"3","Miss.",5,4.215,"0"
"3","Mrs.",7,4.48392857142857,"1"
"3","Mr.",1,7.225,"0"
"1","Mr.",6,43.8333333333333,"0"
"3","Miss.",1,7.8792,"1"
"3","Mr.",1,7.8958,"0"
"1","Mr.",1,27.7208,"0"
"1","Mrs.",3,48.8402666666667,"1"
"3","Miss.",1,7.75,"1"
"2","Mr.",1,10.5,"0"
"1","Mr.",2,41.0854,"0"
"1","Mr.",2,26,"0"
"3","Mr.",1,7.2292,"1"
"3","Mr.",1,8.05,"0"
"3","Miss.",2,9,"0"
"3","Miss.",2,5.62085,"1"
"3","Mrs.",1,9.475,"0"
"2","Mrs.",2,10.5,"0"
"3","Mr.",1,7.8958,"0"
"2","Miss.",4,10.3948,"1"
"3","Miss.",1,7.8792,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",2,7.75,"0"
"3","Miss.",1,7.75,"1"
"3","Mr.",3,7.2264,"0"
"3","Mrs.",2,8.9,"0"
"3","Master.",7,5.66964285714286,"0"
"3","Mr.",1,7.8,"0"
"1","Mrs.",3,25.5764,"1"
"2","Mrs.",2,13,"1"
"1","Mr.",2,30.9896,"0"
"1","Mr.",1,35.5,"1"
"2","Miss.",1,10.5,"1"
"3","Mr.",1,7.2292,"0"
"2","Miss.",4,6.9375,"1"
"3","Master.",8,5.8625,"0"
"3","Mr.",1,7.2292,"0"
"1","Miss.",2,40,"1"
"1","Mr.",2,41.7375,"0"
"3","Master.",6,4.65,"0"
"1","Mr.",1,27.7208,"0"
"3","Master.",3,5.08193333333333,"1"
"2","Mrs.",1,10.5,"1"
"3","Mr.",1,8.1583,"0"
"3","Miss.",1,7.925,"1"
"3","Mr.",1,8.6625,"0"
"2","Mr.",1,10.5,"0"
"3","Miss.",8,5.8625,"0"
"2","Mr.",7,10.5,"0"
"3","Mr.",2,7.2271,"0"
"3","Mr.",8,7.061975,"1"
"3","Mr.",1,7.65,"0"
"3","Mr.",1,7.8958,"0"
"3","Mr.",1,8.05,"0"
"2","Master.",3,9.66666666666667,"1"
"3","Miss.",2,6.2375,"1"
"3","Mr.",1,9,"0"
"3","Mr.",1,9.5,"1"
"3","Miss.",1,7.7875,"1"
"1","Mr.",2,23.55,"0"
"2","Miss.",1,10.5,"1"
"3","Mrs.",2,7.925,"1"
"3","Mr.",5,6.875,"0"
"3","Mr.",1,8.05,"0"
"1","Miss.",6,43.8333333333333,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",1,8.05,"0"
"3","Mr.",1,7.8542,"0"
"1","Mr.",2,30.5875,"0"
"3","Mr.",4,5.14375,"0"
"3","Mr.",1,7.25,"0"
"3","Mr.",1,8.05,"0"
"1","Mr.",1,34.6542,"0"
"1","Mr.",2,31.67915,"1"
"2","Mrs.",2,11.5,"1"
"2","Mr.",2,13,"0"
"3","Miss.",1,7.8958,"0"
"3","Mr.",1,7.8958,"0"
"1","Mr.",2,38.64375,"0"
"3","Mr.",1,8.6542,"0"
"3","Mr.",1,7.925,"0"
"3","Mr.",1,7.8958,"0"
"3","Miss.",1,7.65,"1"
"3","Mr.",1,7.775,"1"
"3","Mr.",1,7.8958,"0"
"3","Miss.",3,8.05,"1"
"1","Mr.",2,26,"0"
"3","Miss.",2,7.2271,"0"
"3","Mr.",1,8.05,"0"
"3","Miss.",1,9.825,"0"
"3","Miss.",2,7.22915,"0"
"3","Mr.",1,7.925,"0"
"3","Mr.",1,7.75,"0"
"2","Mr.",2,10.5,"0"
"1","Mr.",3,82.5069333333333,"0"
"3","Miss.",7,4.46785714285714,"0"
"2","Mr.",7,10.5,"0"
"3","Mr.",1,8.05,"0"
"2","Mr.",2,15.0354,"0"
"2","Miss.",1,13,"1"
"1","Mr.",2,38.64375,"0"
"3","Master.",2,5.62085,"1"
"3","Mr.",1,7.75,"0"
"3","Mr.",1,7.1417,"1"
"3","Miss.",3,7.45276666666667,"1"
"3","Mr.",1,6.975,"0"
"3","Mr.",1,7.8958,"0"
"3","Mr.",1,7.05,"0"
"3","Mrs.",2,7.25,"0"
"2","Mrs.",2,13,"1"
"2","Mr.",1,13,"0"
"2","Mr.",1,15.0458,"0"
"1","Miss.",1,26.2833,"1"
"1","Mr.",2,26.55,"0"
"3","Mr.",2,4.60835,"0"
"1","Mr.",2,39.6,"0"
"3","Mrs.",3,5.08193333333333,"0"
"3","Miss.",1,7.75,"1"
"3","Mrs.",2,7.925,"1"
"3","Mr.",1,6.75,"0"
"2","Mr.",1,11.5,"0"
"2","Mr.",4,9.1875,"0"
"3","Mr.",1,7.7958,"1"
"3","Miss.",5,6.875,"0"
"2","Mr.",3,8.66666666666667,"0"
"2","Mr.",1,13,"0"
"2","Mr.",1,12.525,"0"
"1","Mrs.",2,33.3,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",3,4.83333333333333,"0"
"3","Mr.",1,7.3125,"0"
"1","Mr.",2,30.6896,"0"
"3","Miss.",1,7.7333,"1"
"3","Mr.",1,8.05,"0"
"3","Mr.",1,8.6625,"0"
"3","Master.",11,6.32272727272727,"0"
"3","Mr.",2,8.05,"0"
"2","Mrs.",2,7.875,"1"
"3","Mr.",1,7.775,"0"
"3","Mr.",1,8.6625,"0"
"3","Master.",7,5.66964285714286,"0"
"3","Master.",3,6.84166666666667,"1"
"1","Mrs.",2,27.5,"1"
"3","Mrs.",6,4.65,"0"
"1","Mr.",1,25.925,"0"
"3","Mr.",8,7.061975,"0"
"1","Mr.",1,33.5,"0"
"3","Master.",6,4.85416666666667,"0"
"3","Miss.",3,3.7111,"1"
"3","Mr.",1,7.925,"0"
"1","Mr.",1,30.6958,"0"
"3","Mr.",1,7.8542,"0"
"3","Master.",5,5.09334,"0"
"1","Miss.",1,28.7125,"0"
"2","Mr.",1,13,"0"
"3","Mr.",4,0,"0"
"3","Miss.",11,6.32272727272727,"0"
"2","Mr.",1,15.05,"0"
"3","Master.",7,4.48392857142857,"0"
"2","Master.",4,9.75,"1"
"3","Miss.",3,7.34166666666667,"1"
"1","Mr.",1,50,"0"
"3","Mrs.",2,7.75,"1"
"1","Mr.",1,26.55,"1"
"3","Mr.",2,7.75,"0"
"3","Mr.",1,7.8958,"0"
"2","Mrs.",1,13,"1"
"2","Mr.",1,13,"0"
"3","Miss.",1,7.8542,"1"
"2","Master.",3,8.66666666666667,"1"
"1","Mrs.",1,27.7208,"1"
"1","Miss.",3,48.8402666666667,"1"
"3","Mr.",1,7.75,"0"
"3","Mr.",1,8.4042,"0"
"3","Miss.",1,7.75,"1"
"2","Miss.",1,13,"0"
"3","Mr.",1,9.5,"0"
"3","Mr.",11,6.32272727272727,"0"
"3","Mr.",1,6.4958,"0"
"3","Mr.",1,7.225,"0"
"3","Mr.",1,8.05,"1"
"3","Miss.",2,5.23125,"0"
"3","Mr.",2,7.925,"0"
"3","Mr.",2,9.39375,"1"
"3","Miss.",1,7.75,"1"
"1","Mr.",1,31,"1"
"3","Mr.",1,7.05,"0"
"2","Miss.",2,10.5,"1"
"3","Mr.",1,7.25,"0"
"2","Mr.",1,13,"0"
"3","Mr.",1,7.75,"0"
"1","Miss.",3,37.7583333333333,"1"
"3","Miss.",1,7.925,"1"
"2","Mr.",2,13.5,"0"
"1","Miss.",2,38.14585,"1"
"2","Mr.",1,10.5,"0"
"3","Mr.",1,8.05,"1"
"2","Mr.",1,13,"0"
"3","Mr.",1,8.05,"0"
"3","Mr.",1,7.8958,"0"
"1","Mr.",2,45,"1"
"3","Mr.",1,9.35,"0"
"2","Mr.",1,10.5,"1"
"3","Mr.",1,7.25,"0"
"2","Mr.",1,13,"0"
"3","Miss.",5,5.09334,"0"
"1","Mrs.",2,41.7375,"1"
"3","Mr.",1,7.775,"0"
"2","Mr.",1,13.5,"0"
"3","Miss.",7,4.48392857142857,"1"
"2","Mr.",1,10.5,"0"
"3","Miss.",1,7.55,"0"
"2","Mr.",2,13,"0"
"2","Miss.",3,8.75,"1"
"2","Mr.",1,10.5,"0"
"2","Mr.",1,12.275,"0"
"3","Miss.",2,7.2271,"0"
"3","Miss.",2,7.75,"1"
"2","Mr.",1,10.5,"0"
"3","Mr.",1,7.125,"0"
"3","Mr.",1,7.225,"0"
"1","Mr.",3,30,"0"
"3","Miss.",1,7.775,"0"
"2","Mrs.",2,7.25,"1"
"1","Mr.",2,26.2771,"1"
"2","Mr.",2,13,"0"
"3","Mr.",1,7.25,"0"
"3","Mrs.",2,5.23125,"0"
"1","Mr.",1,26.55,"0"
"3","Mr.",2,8.05,"0"
"3","Mrs.",3,6.7375,"0"
"3","Mrs.",3,5.08193333333333,"1"
"1","Mrs.",2,39.6,"1"
"1","Miss.",3,28.8333333333333,"1"
"1","Miss.",4,128.0823,"1"
"2","Mrs.",2,13,"1"
"3","Mr.",1,7.75,"0"
"3","Master.",7,4.48392857142857,"1"
"1","Mr.",3,26.55,"0"
"1","Mr.",1,0,"0"
"3","Miss.",1,7.75,"0"
"2","Mr.",1,10.5,"0"
"3","Mr.",7,5.66964285714286,"0"
"3","Mr.",1,7.775,"1"
"1","Mrs.",3,51.1541666666667,"1"
"1","Miss.",4,33.908325,"1"
"1","Mr.",2,15.5,"0"
"3","Mr.",4,0,"1"
"2","Mrs.",2,9.75,"1"
"1","Mr.",1,29.7,"0"
"3","Miss.",1,7.75,"1"
"1","Miss.",3,25.9861,"1"
"3","Miss.",1,7.75,"0"
"2","Mr.",3,0,"0"
"3","Master.",6,4.85416666666667,"0"
"3","Mrs.",3,6.75,"1"
"3","Mr.",1,7.75,"0"
"3","Mr.",1,7.8542,"0"
"3","Mr.",1,9.5,"0"
"3","Mr.",1,8.05,"1"
"1","Mr.",1,26,"0"
"3","Mr.",1,8.6625,"0"
"3","Mr.",1,9.5,"1"
"3","Mr.",1,7.8958,"0"
"2","Mr.",1,13,"1"
"3","Miss.",1,7.75,"1"
"1","Miss.",3,26.2833333333333,"1"
"1","Mrs.",2,45.5396,"1"
"2","Mr.",1,12.875,"0"
"3","Miss.",1,8.85,"0"
"3","Mr.",1,7.8958,"0"
"1","Mr.",1,27.7208,"0"
"3","Mr.",1,7.2292,"0"
"1","Miss.",6,25.2583333333333,"0"
"1","Mr.",1,30.5,"1"
"1","Mrs.",3,82.5069333333333,"1"
"3","Miss.",1,7.75,"1"
"3","Mr.",3,7.75,"1"
"3","Mr.",4,0,"0"
"2","Miss.",1,12.35,"1"
"3","Mr.",1,8.05,"0"
"1","Master.",6,25.2583333333333,"1"
"1","Miss.",4,27.720825,"1"
"1","Mrs.",3,36.3,"1"
"2","Mr.",2,12,"0"
"1","Miss.",2,28.4646,"1"
"1","Miss.",3,27.7194333333333,"1"
"1","Miss.",7,37.4821428571429,"1"
"2","Mrs.",2,13,"0"
"3","Mr.",1,7.8958,"0"
"2","Mr.",3,8.75,"0"
"3","Miss.",1,7.8542,"1"
"2","Mrs.",2,13,"1"
"2","Mr.",1,14,"0"
"1","Miss.",4,41.216675,"1"
"1","Mrs.",5,26.9,"1"
"3","Mr.",1,7.25,"0"
"3","Mr.",1,7.8958,"0"
"2","Miss.",1,12.35,"1"
"2","Mrs.",3,9.66666666666667,"1"
"3","Mr.",11,6.32272727272727,"0"
"1","Miss.",4,33.908325,"1"
"3","Mr.",1,6.2375,"0"
"2","Mrs.",1,13,"1"
"3","Mrs.",3,6.84166666666667,"1"
"1","Miss.",2,28.9896,"1"
"3","Miss.",3,7.75,"1"
"1","Mr.",1,28.5,"0"
"1","Mr.",3,51.1541666666667,"0"
"3","Mr.",2,9,"0"
"1","Mrs.",2,66.825,"1"
"3","Mr.",1,7.8958,"0"
"1","Mr.",2,33.3,"0"
"1","Miss.",5,26.9,"1"
"3","Mr.",1,8.05,"1"
"1","Mr.",1,35.5,"0"
"2","Master.",3,8.66666666666667,"1"
"1","Miss.",6,43.8333333333333,"1"
"2","Mr.",1,13,"0"
"2","Mr.",1,13,"0"
"2","Mr.",1,13,"0"
"2","Miss.",1,13,"1"
"2","Miss.",1,13,"1"
"3","Mrs.",2,8.05,"1"
"3","Master.",3,5.3,"1"
"3","Mr.",1,8.6625,"0"
"3","Mr.",1,9.225,"0"
"1","Mr.",1,35,"0"
"3","Mr.",1,7.2292,"0"
"3","Mr.",2,8.9,"0"
"3","Mr.",1,7.225,"0"
"3","Mr.",1,9.5,"0"
"1","Miss.",2,27.5,"1"
"2","Miss.",1,13,"0"
"3","Miss.",1,7.8792,"1"
"3","Miss.",1,7.8792,"1"
"3","Mr.",6,4.65,"0"
"2","Mr.",2,13.8604,"0"
"3","Mrs.",2,7.2271,"0"
"3","Mr.",1,7.05,"0"
"3","Mr.",2,7.75,"0"
"3","Mr.",1,7.25,"0"
"1","Mrs.",2,37.625,"1"
"3","Mrs.",1,7.2292,"1"
"3","Miss.",1,7.75,"1"
"1","Mrs.",2,34.65,"1"
"1","Mr.",2,27.72085,"1"
"3","Mr.",1,6.4958,"0"
"3","Mr.",1,8.05,"0"
"1","Mr.",4,33.908325,"0"
"3","Miss.",5,4.215,"0"
"1","Mrs.",2,41.0854,"1"
"3","Miss.",1,7.25,"1"
"1","Mr.",5,42.3,"0"
"3","Mr.",1,4.0125,"0"
"3","Mr.",1,7.775,"0"
"1","Miss.",5,45.505,"1"
"3","Miss.",3,5.24723333333333,"1"
"3","Mr.",1,7.925,"0"
"1","Mrs.",2,26,"1"
"3","Mr.",1,7.8958,"0"
"2","Mr.",7,10.5,"0"
"3","Master.",8,5.8625,"0"
"2","Miss.",1,13,"1"
"3","Mr.",1,7.7292,"0"
"2","Miss.",1,12,"1"
"1","Mr.",4,30,"1"
"3","Mr.",1,7.7958,"1"
"3","Mr.",1,7.925,"0"
"1","Miss.",3,37.7583333333333,"1"
"3","Mrs.",3,5.56666666666667,"1"
"3","Mr.",1,7.7958,"0"
"3","Miss.",1,7.8542,"0"
"2","Mr.",2,13,"0"
"2","Mr.",1,10.5,"0"
"2","Mrs.",1,12.65,"1"
"3","Mr.",1,7.925,"1"
"3","Mr.",1,8.05,"0"
"3","Miss.",1,9.825,"0"
"3","Mr.",2,7.925,"0"
"3","Miss.",1,8.6625,"0"
"2","Mr.",2,10.5,"0"
"3","Mr.",1,7.75,"0"
"2","Master.",3,6.25,"1"
"3","Mr.",1,7.775,"0"
"3","Miss.",5,5.09334,"0"
"3","Mr.",1,7.8958,"0"
"3","Mr.",1,6.8583,"0"
"1","Miss.",3,30,"1"
"2","Mr.",3,0,"0"
"3","Mr.",1,7.925,"1"
"3","Mrs.",1,8.05,"0"
"2","Mrs.",3,10.8333333333333,"1"
"2","Miss.",1,13,"1"
"2","Mr.",1,13,"0"
"3","Miss.",3,8.05,"0"
"3","Mr.",1,7.8958,"0"
"3","Mr.",1,7.7333,"0"
"3","Mr.",1,7.875,"0"
"3","Mrs.",3,4.8,"0"
"3","Mr.",3,6.7375,"0"
"3","Mr.",1,7.25,"0"
"2","Mrs.",2,13,"1"
"2","Miss.",2,13,"1"
"3","Mr.",1,7.75,"0"
"3","Mr.",1,8.05,"1"
"1","Mr.",1,26.55,"1"
"3","Mrs.",2,8.05,"1"
"2","Mrs.",2,13,"1"
"3","Mr.",1,7.125,"0"
"1","Mr.",2,27.95,"0"
"1","Miss.",4,30,"1"
"3","Miss.",5,6.875,"0"
"2","Mrs.",3,6.25,"1"
"1","Mr.",6,43.8333333333333,"0"
